service_id,date,exception_type
F1A1_2130_F1A1,20231221,1
F1A1_2130_F1A2,20231221,1
F1A1_2130_F1A3,20231221,1
F2A1_2130_F2A1,20231221,1
F2A1_2130_F2A2,20231221,1
F2A1_2130_F2A3,20231221,1
F3A1_2130_F3A1,20231221,1
F3A1_2130_F3A2,20231221,1
F3A1_2130_F3A3,20231221,1
F4A1_2130_F4A1,20231221,1
F4A1_2130_F4A2,20231221,1
F4A1_2130_F4A3,20231221,1
F5A1_2130_F5A1,20231221,1
F5A1_2130_F5A2,20231221,1
F5A1_2130_F5A3,20231221,1
F6A1_2130_F6A1,20231221,1
F6A1_2130_F6A2,20231221,1
F6A1_2130_F6A3,20231221,1
L10DA1_L10A1,20231212,1
L10DA1_L10A1,20231213,1
L10DA1_L10A1,20231214,1
L10DA1_L10A1,20231215,1
L10DA1_L10A1,20231218,1
L10DA1_L10A1,20231219,1
L10DA1_L10A1,20231220,1
L10DA1_L10A1,20231221,1
L10DA1_L10A1,20231222,1
L10DA1_L10A1,20231226,1
L10DA1_L10A1,20231227,1
L10DA1_L10A1,20231228,1
L10DA1_L10A1,20231229,1
L14DA1_L14A1,20231212,1
L14DA1_L14A1,20231213,1
L14DA1_L14A1,20231214,1
L14DA1_L14A1,20231215,1
L14DA1_L14A1,20231218,1
L14DA1_L14A1,20231219,1
L14DA1_L14A1,20231220,1
L14DA1_L14A1,20231221,1
L14DA1_L14A1,20231222,1
L14DA1_L14A1,20231226,1
L14DA1_L14A1,20231227,1
L14DA1_L14A1,20231228,1
L14DA1_L14A1,20231229,1
L16_1B_L16A1,20231216,1
L16_1B_L16A1,20231223,1
L16_1B_L16A1,20231230,1
L16DA1_L16A1,20231212,1
L16DA1_L16A1,20231213,1
L16DA1_L16A1,20231214,1
L16DA1_L16A1,20231215,1
L16DA1_L16A1,20231218,1
L16DA1_L16A1,20231219,1
L16DA1_L16A1,20231220,1
L16DA1_L16A1,20231221,1
L16DA1_L16A1,20231222,1
L16DA1_L16A1,20231226,1
L16DA1_L16A1,20231227,1
L16DA1_L16A1,20231228,1
L16DA1_L16A1,20231229,1
L18-19D_L18A1,20231212,1
L18-19D_L18A2,20231212,1
L18-19D_L18A3,20231212,1
L18-19D_L18A4,20231212,1
L18-19D_L18A5,20231212,1
L18-19D_L18A6,20231212,1
L18-19D_L18A1,20231213,1
L18-19D_L18A2,20231213,1
L18-19D_L18A3,20231213,1
L18-19D_L18A4,20231213,1
L18-19D_L18A5,20231213,1
L18-19D_L18A6,20231213,1
L18-19D_L18A1,20231214,1
L18-19D_L18A2,20231214,1
L18-19D_L18A3,20231214,1
L18-19D_L18A4,20231214,1
L18-19D_L18A5,20231214,1
L18-19D_L18A6,20231214,1
L18-19D_L18A1,20231215,1
L18-19D_L18A2,20231215,1
L18-19D_L18A3,20231215,1
L18-19D_L18A4,20231215,1
L18-19D_L18A5,20231215,1
L18-19D_L18A6,20231215,1
L18-19D_L18A1,20231218,1
L18-19D_L18A2,20231218,1
L18-19D_L18A3,20231218,1
L18-19D_L18A4,20231218,1
L18-19D_L18A5,20231218,1
L18-19D_L18A6,20231218,1
L18-19D_L18A1,20231219,1
L18-19D_L18A2,20231219,1
L18-19D_L18A3,20231219,1
L18-19D_L18A4,20231219,1
L18-19D_L18A5,20231219,1
L18-19D_L18A6,20231219,1
L18-19D_L18A1,20231220,1
L18-19D_L18A2,20231220,1
L18-19D_L18A3,20231220,1
L18-19D_L18A4,20231220,1
L18-19D_L18A5,20231220,1
L18-19D_L18A6,20231220,1
L18-19D_L18A1,20231221,1
L18-19D_L18A2,20231221,1
L18-19D_L18A3,20231221,1
L18-19D_L18A4,20231221,1
L18-19D_L18A5,20231221,1
L18-19D_L18A6,20231221,1
L18-19D_L18A1,20231222,1
L18-19D_L18A2,20231222,1
L18-19D_L18A3,20231222,1
L18-19D_L18A4,20231222,1
L18-19D_L18A5,20231222,1
L18-19D_L18A6,20231222,1
L18-19D_L18A1,20231226,1
L18-19D_L18A2,20231226,1
L18-19D_L18A3,20231226,1
L18-19D_L18A4,20231226,1
L18-19D_L18A5,20231226,1
L18-19D_L18A6,20231226,1
L18-19D_L18A1,20231227,1
L18-19D_L18A2,20231227,1
L18-19D_L18A3,20231227,1
L18-19D_L18A4,20231227,1
L18-19D_L18A5,20231227,1
L18-19D_L18A6,20231227,1
L18-19D_L18A1,20231228,1
L18-19D_L18A2,20231228,1
L18-19D_L18A3,20231228,1
L18-19D_L18A4,20231228,1
L18-19D_L18A5,20231228,1
L18-19D_L18A6,20231228,1
L18-19D_L18A1,20231229,1
L18-19D_L18A2,20231229,1
L18-19D_L18A3,20231229,1
L18-19D_L18A4,20231229,1
L18-19D_L18A5,20231229,1
L18-19D_L18A6,20231229,1
L18-19S_L18A1,20231216,1
L18-19S_L18A2,20231216,1
L18-19S_L18A3,20231216,1
L18-19S_L18A4,20231216,1
L18-19S_L18A5,20231216,1
L18-19S_L18A6,20231216,1
L18-19S_L18A1,20231223,1
L18-19S_L18A2,20231223,1
L18-19S_L18A3,20231223,1
L18-19S_L18A4,20231223,1
L18-19S_L18A5,20231223,1
L18-19S_L18A6,20231223,1
L18-19S_L18A1,20231230,1
L18-19S_L18A2,20231230,1
L18-19S_L18A3,20231230,1
L18-19S_L18A4,20231230,1
L18-19S_L18A5,20231230,1
L18-19S_L18A6,20231230,1
L18A1_L18A1,20231217,1
L18A1_L18A1,20231224,1
L18A1_L18A1,20231225,1
L18A1_L18A1,20231231,1
L19A03_L19A1,20231217,1
L19A03_L19A2,20231217,1
L19A03_L19A3,20231217,1
L19A03_L19A1,20231224,1
L19A03_L19A2,20231224,1
L19A03_L19A3,20231224,1
L19A03_L19A1,20231225,1
L19A03_L19A2,20231225,1
L19A03_L19A3,20231225,1
L19A03_L19A1,20231231,1
L19A03_L19A2,20231231,1
L19A03_L19A3,20231231,1
L1A11_L1A1,20231212,1
L1A11_L1A10,20231212,1
L1A11_L1A11,20231212,1
L1A11_L1A2,20231212,1
L1A11_L1A3,20231212,1
L1A11_L1A4,20231212,1
L1A11_L1A5,20231212,1
L1A11_L1A6,20231212,1
L1A11_L1A7,20231212,1
L1A11_L1A8,20231212,1
L1A11_L1A9,20231212,1
L1A11_L1A1,20231213,1
L1A11_L1A10,20231213,1
L1A11_L1A11,20231213,1
L1A11_L1A2,20231213,1
L1A11_L1A3,20231213,1
L1A11_L1A4,20231213,1
L1A11_L1A5,20231213,1
L1A11_L1A6,20231213,1
L1A11_L1A7,20231213,1
L1A11_L1A8,20231213,1
L1A11_L1A9,20231213,1
L1A11_L1A1,20231214,1
L1A11_L1A10,20231214,1
L1A11_L1A11,20231214,1
L1A11_L1A2,20231214,1
L1A11_L1A3,20231214,1
L1A11_L1A4,20231214,1
L1A11_L1A5,20231214,1
L1A11_L1A6,20231214,1
L1A11_L1A7,20231214,1
L1A11_L1A8,20231214,1
L1A11_L1A9,20231214,1
L1A11_L1A1,20231215,1
L1A11_L1A10,20231215,1
L1A11_L1A11,20231215,1
L1A11_L1A2,20231215,1
L1A11_L1A3,20231215,1
L1A11_L1A4,20231215,1
L1A11_L1A5,20231215,1
L1A11_L1A6,20231215,1
L1A11_L1A7,20231215,1
L1A11_L1A8,20231215,1
L1A11_L1A9,20231215,1
L1A11_L1A1,20231218,1
L1A11_L1A10,20231218,1
L1A11_L1A11,20231218,1
L1A11_L1A2,20231218,1
L1A11_L1A3,20231218,1
L1A11_L1A4,20231218,1
L1A11_L1A5,20231218,1
L1A11_L1A6,20231218,1
L1A11_L1A7,20231218,1
L1A11_L1A8,20231218,1
L1A11_L1A9,20231218,1
L1A11_L1A1,20231219,1
L1A11_L1A10,20231219,1
L1A11_L1A11,20231219,1
L1A11_L1A2,20231219,1
L1A11_L1A3,20231219,1
L1A11_L1A4,20231219,1
L1A11_L1A5,20231219,1
L1A11_L1A6,20231219,1
L1A11_L1A7,20231219,1
L1A11_L1A8,20231219,1
L1A11_L1A9,20231219,1
L1A11_L1A1,20231220,1
L1A11_L1A10,20231220,1
L1A11_L1A11,20231220,1
L1A11_L1A2,20231220,1
L1A11_L1A3,20231220,1
L1A11_L1A4,20231220,1
L1A11_L1A5,20231220,1
L1A11_L1A6,20231220,1
L1A11_L1A7,20231220,1
L1A11_L1A8,20231220,1
L1A11_L1A9,20231220,1
L1A11_L1A1,20231221,1
L1A11_L1A10,20231221,1
L1A11_L1A11,20231221,1
L1A11_L1A2,20231221,1
L1A11_L1A3,20231221,1
L1A11_L1A4,20231221,1
L1A11_L1A5,20231221,1
L1A11_L1A6,20231221,1
L1A11_L1A7,20231221,1
L1A11_L1A8,20231221,1
L1A11_L1A9,20231221,1
L1A11_L1A1,20231222,1
L1A11_L1A10,20231222,1
L1A11_L1A11,20231222,1
L1A11_L1A2,20231222,1
L1A11_L1A3,20231222,1
L1A11_L1A4,20231222,1
L1A11_L1A5,20231222,1
L1A11_L1A6,20231222,1
L1A11_L1A7,20231222,1
