route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,101,1,Barrio España - Covaresa,,3,http://www.auvasa.es/auv_linea.asp?lin=1,36AD30,FFFFFF
2,101,2,San Pedro Regalado - Covaresa,,3,http://www.auvasa.es/auv_linea.asp?lin=2,F5C636,000000
3,101,3,Las Flores - Giron (Cementerio Contiendas),,3,http://www.auvasa.es/auv_linea.asp?lin=3,EE4BA4,000000
4,101,4,Pinar de Jalón - Fuente Berrocal,,3,http://www.auvasa.es/auv_linea.asp?lin=4,AA541A,FFFFFF
5,101,5,La Victoria - Santa Ana (Entrepinos),,3,http://www.auvasa.es/auv_linea.asp?lin=5,2FB7B7,FFFFFF
6,101,6,Delicias - La Victoria,,3,http://www.auvasa.es/auv_linea.asp?lin=6,F59EC4,000000
7,101,7,Arturo Eyries - Los Santos Pilarica,,3,http://www.auvasa.es/auv_linea.asp?lin=7,7A2B37,FFFFFF
8,101,8,Parquesol - Belén,,3,http://www.auvasa.es/auv_linea.asp?lin=8,EA5D00,FFFFFF
9,101,9,Parquesol - Delicias-Polígono San Cristóbal,,3,http://www.auvasa.es/auv_linea.asp?lin=9,009EE6,FFFFFF
10,101,10,Parquesol - Villa de Prado,,3,http://www.auvasa.es/auv_linea.asp?lin=10,A01A4A,FFFFFF
13,101,13,Plaza de España - La Cistérniga/Poligono La Mora,,3,http://www.auvasa.es/auv_linea.asp?lin=13,0051A1,FFFFFF
14,101,14,Plaza de España - Polígono San Cristóbal,,3,http://www.auvasa.es/auv_linea.asp?lin=14,887CB9,000000
16,101,16,Pinar de Jalón - Paseo Zorrilla 71,,3,http://www.auvasa.es/auv_linea.asp?lin=16,82D0F7,000000
17,101,17,Rondilla - Polígono San Cristóbal,,3,http://www.auvasa.es/auv_linea.asp?lin=17,C2D400,FFFFFF
18,101,18,Puente Duero - San Isidro - La Cistérniga,,3,http://www.auvasa.es/auv_linea.asp?lin=18,BEBCBD,000000
19,101,19,Puente Duero - Hospital Río Hortega - La Cistérniga,,3,http://www.auvasa.es/auv_linea.asp?lin=19,E59351,000000
21,101,C1,Circular 1: Parquesol -  La Victoria - Parquesol,,3,http://www.auvasa.es/auv_linea.asp?lin=C1,555553,FFFFFF
22,101,C2,Circular 2: Parquesol -  La Victoria - Parquesol,,3,http://www.auvasa.es/auv_linea.asp?lin=C2,6C6C69,FFFFFF
23,101,23,Paseo Zorrilla 130 - Cañada Real 560,,3,http://www.auvasa.es/auv_linea.asp?lin=23,FCC600,FFFFFF
24,101,24,La Overuela - Pza. Poniente,,3,http://www.auvasa.es/auv_linea.asp?lin=24,0F4895,FFFFFF
26,101,26,Plaza España - San Juan de Dios,,3,http://www.auvasa.es/auv_linea.asp?lin=26,80D0F7,000000
35,101,H,Paseo Zorrilla 71 - Hospital Río Hortega,,3,http://www.auvasa.es/auv_linea.asp?lin=H,E42333,000000
41,101,P1,San Pedro Regalado - Polígono Argales - Rubia,,3,http://www.auvasa.es/auv_linea.asp?lin=P1,792B37,FFFFFF
42,101,P2,Barrio España - Polígono Argales - Covaresa,,3,http://www.auvasa.es/auv_linea.asp?lin=P2,792B37,FFFFFF
43,101,P3,La Victoria - Polígono San Cristóbal,,3,http://www.auvasa.es/auv_linea.asp?lin=P3,792B37,FFFFFF
46,101,P6,La Victoria - Polígono Argales,,3,http://www.auvasa.es/auv_linea.asp?lin=P6,792B37,FFFFFF
47,101,P7,Los Santos Pilarica - Polígono Argales,,3,http://www.auvasa.es/auv_linea.asp?lin=P7,792B37,FFFFFF
53,101,P13,Covaresa - Polígono San Cristóbal,,3,http://www.auvasa.es/auv_linea.asp?lin=P13,792B37,FFFFFF
61,101,PSC1,Parquesol - Polígono Argales - Polígono San Cristóbal,,3,http://www.auvasa.es/auv_linea.asp?lin=PSC1,792B37,FFFFFF
62,101,PSC2,Rondilla - Pajarillos - Polígono San Cristóbal,,3,http://www.auvasa.es/auv_linea.asp?lin=PSC2,792B37,FFFFFF
63,101,PSC3,Las Flores - Delicias - Polígono Argales - Parquesol,,3,http://www.auvasa.es/auv_linea.asp?lin=PSC3,792B37,FFFFFF
71,101,B1,Covaresa - Fuente Dorada - San Pedro Regalado,,3,http://www.auvasa.es/auv_linea.asp?lin=B1,2B2B2D,FFFFFF
72,101,B2,Delicias - Doctrinos - La Victoria,,3,http://www.auvasa.es/auv_linea.asp?lin=B2,2B2B2D,FFFFFF
73,101,B3,Parquesol - Fuente Dorada - Las Flores,,3,http://www.auvasa.es/auv_linea.asp?lin=B3,2B2B2D,FFFFFF
