route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
81,F1A1_1615_F1A1,F1A1_1615_F1A1_2,ESTAD. FUTBOL,0,,Route_69
81,F1A1_1615_F1A1,F1A1_1615_F1A1_3,COVARESA,1,,Route_70
81,F1A1_1615_F1A2,F1A1_1615_F1A2_2,ESTAD. FUTBOL,0,,Route_69
81,F1A1_1615_F1A2,F1A1_1615_F1A2_3,COVARESA,1,,Route_70
81,F1A1_1615_F1A3,F1A1_1615_F1A3_2,ESTAD. FUTBOL,0,,Route_69
81,F1A1_1615_F1A3,F1A1_1615_F1A3_3,COVARESA,1,,Route_70
81,F1A1_2130_F1A1,F1A1_2130_F1A1_2,ESTAD. FUTBOL,0,,Route_69
81,F1A1_2130_F1A1,F1A1_2130_F1A1_3,COVARESA,1,,Route_70
81,F1A1_2130_F1A2,F1A1_2130_F1A2_2,ESTAD. FUTBOL,0,,Route_69
81,F1A1_2130_F1A2,F1A1_2130_F1A2_3,COVARESA,1,,Route_70
81,F1A1_2130_F1A3,F1A1_2130_F1A3_2,ESTAD. FUTBOL,0,,Route_69
81,F1A1_2130_F1A3,F1A1_2130_F1A3_3,COVARESA,1,,Route_70
82,F2A1_1615_F2A1,F2A1_1615_F2A1_2,ESTAD. FUTBOL,0,,Route_71
82,F2A1_1615_F2A1,F2A1_1615_F2A1_3,DELICIAS,1,,Route_72
82,F2A1_1615_F2A2,F2A1_1615_F2A2_2,ESTAD. FUTBOL,0,,Route_71
82,F2A1_1615_F2A2,F2A1_1615_F2A2_3,DELICIAS,1,,Route_72
82,F2A1_1615_F2A3,F2A1_1615_F2A3_2,ESTAD. FUTBOL,0,,Route_71
82,F2A1_1615_F2A3,F2A1_1615_F2A3_3,DELICIAS,1,,Route_72
82,F2A1_2130_F2A1,F2A1_2130_F2A1_2,ESTAD. FUTBOL,0,,Route_71
82,F2A1_2130_F2A1,F2A1_2130_F2A1_3,DELICIAS,1,,Route_72
82,F2A1_2130_F2A2,F2A1_2130_F2A2_2,ESTAD. FUTBOL,0,,Route_71
82,F2A1_2130_F2A2,F2A1_2130_F2A2_3,DELICIAS,1,,Route_72
82,F2A1_2130_F2A3,F2A1_2130_F2A3_2,ESTAD. FUTBOL,0,,Route_71
82,F2A1_2130_F2A3,F2A1_2130_F2A3_3,DELICIAS,1,,Route_72
83,F3A1_1615_F3A1,F3A1_1615_F3A1_2,ESTAD. FUTBOL,0,,Route_73
83,F3A1_1615_F3A1,F3A1_1615_F3A1_3,LAS FLORES,1,,Route_74
83,F3A1_1615_F3A2,F3A1_1615_F3A2_2,ESTAD. FUTBOL,0,,Route_73
83,F3A1_1615_F3A2,F3A1_1615_F3A2_3,LAS FLORES,1,,Route_74
83,F3A1_1615_F3A3,F3A1_1615_F3A3_2,ESTAD. FUTBOL,0,,Route_73
83,F3A1_1615_F3A3,F3A1_1615_F3A3_3,LAS FLORES,1,,Route_74
83,F3A1_2130_F3A1,F3A1_2130_F3A1_2,ESTAD. FUTBOL,0,,Route_73
83,F3A1_2130_F3A1,F3A1_2130_F3A1_3,LAS FLORES,1,,Route_74
83,F3A1_2130_F3A2,F3A1_2130_F3A2_2,ESTAD. FUTBOL,0,,Route_73
83,F3A1_2130_F3A2,F3A1_2130_F3A2_3,LAS FLORES,1,,Route_74
83,F3A1_2130_F3A3,F3A1_2130_F3A3_2,ESTAD. FUTBOL,0,,Route_73
83,F3A1_2130_F3A3,F3A1_2130_F3A3_3,LAS FLORES,1,,Route_74
84,F4A1_1615_F4A1,F4A1_1615_F4A1_2,ESTAD. FUTBOL,0,,Route_75
84,F4A1_1615_F4A1,F4A1_1615_F4A1_3,LOS SANTOS P,1,,Route_76
84,F4A1_1615_F4A2,F4A1_1615_F4A2_2,ESTAD. FUTBOL,0,,Route_75
84,F4A1_1615_F4A2,F4A1_1615_F4A2_3,LOS SANTOS P,1,,Route_76
84,F4A1_1615_F4A3,F4A1_1615_F4A3_2,ESTAD. FUTBOL,0,,Route_75
84,F4A1_1615_F4A3,F4A1_1615_F4A3_3,LOS SANTOS P,1,,Route_76
84,F4A1_2130_F4A1,F4A1_2130_F4A1_2,ESTAD. FUTBOL,0,,Route_75
84,F4A1_2130_F4A1,F4A1_2130_F4A1_3,LOS SANTOS P,1,,Route_76
84,F4A1_2130_F4A2,F4A1_2130_F4A2_2,ESTAD. FUTBOL,0,,Route_75
84,F4A1_2130_F4A2,F4A1_2130_F4A2_3,LOS SANTOS P,1,,Route_76
84,F4A1_2130_F4A3,F4A1_2130_F4A3_2,ESTAD. FUTBOL,0,,Route_75
84,F4A1_2130_F4A3,F4A1_2130_F4A3_3,LOS SANTOS P,1,,Route_76
85,F5A1_1615_F5A1,F5A1_1615_F5A1_2,ESTAD. FUTBOL,0,,Route_77
85,F5A1_1615_F5A1,F5A1_1615_F5A1_3,B. BELEN,1,,Route_78
85,F5A1_1615_F5A2,F5A1_1615_F5A2_2,ESTAD. FUTBOL,0,,Route_77
85,F5A1_1615_F5A2,F5A1_1615_F5A2_3,B. BELEN,1,,Route_78
85,F5A1_1615_F5A3,F5A1_1615_F5A3_2,ESTAD. FUTBOL,0,,Route_77
85,F5A1_1615_F5A3,F5A1_1615_F5A3_3,B. BELEN,1,,Route_78
85,F5A1_2130_F5A1,F5A1_2130_F5A1_2,ESTAD. FUTBOL,0,,Route_77
85,F5A1_2130_F5A1,F5A1_2130_F5A1_3,B. BELEN,1,,Route_78
85,F5A1_2130_F5A2,F5A1_2130_F5A2_2,ESTAD. FUTBOL,0,,Route_77
85,F5A1_2130_F5A2,F5A1_2130_F5A2_3,B. BELEN,1,,Route_78
85,F5A1_2130_F5A3,F5A1_2130_F5A3_2,ESTAD. FUTBOL,0,,Route_77
85,F5A1_2130_F5A3,F5A1_2130_F5A3_3,B. BELEN,1,,Route_78
86,F6A1_1615_F6A1,F6A1_1615_F6A1_2,ESTAD. FUTBOL,0,,Route_79
86,F6A1_1615_F6A1,F6A1_1615_F6A1_3,SAN PEDRO R,1,,Route_80
86,F6A1_1615_F6A2,F6A1_1615_F6A2_2,ESTAD. FUTBOL,0,,Route_79
86,F6A1_1615_F6A2,F6A1_1615_F6A2_3,SAN PEDRO R,1,,Route_80
86,F6A1_1615_F6A3,F6A1_1615_F6A3_2,ESTAD. FUTBOL,0,,Route_79
86,F6A1_1615_F6A3,F6A1_1615_F6A3_3,SAN PEDRO R,1,,Route_80
86,F6A1_2130_F6A1,F6A1_2130_F6A1_2,ESTAD. FUTBOL,0,,Route_79
86,F6A1_2130_F6A1,F6A1_2130_F6A1_3,SAN PEDRO R,1,,Route_80
86,F6A1_2130_F6A2,F6A1_2130_F6A2_2,ESTAD. FUTBOL,0,,Route_79
86,F6A1_2130_F6A2,F6A1_2130_F6A2_3,SAN PEDRO R,1,,Route_80
86,F6A1_2130_F6A3,F6A1_2130_F6A3_2,ESTAD. FUTBOL,0,,Route_79
86,F6A1_2130_F6A3,F6A1_2130_F6A3_3,SAN PEDRO R,1,,Route_80
10,L10DA1_L10A1,L10DA1_L10A1_2,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_3,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_4,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_5,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_6,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_7,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_8,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_9,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_10,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_11,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_12,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_13,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_14,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_15,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_16,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_17,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_18,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_19,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_20,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_21,PARQUESOL,1,,Route_16
10,L10DA1_L10A1,L10DA1_L10A1_22,VILLA PRADO,0,,Route_15
10,L10DA1_L10A1,L10DA1_L10A1_23,PARQUESOL,1,,Route_16
14,L14DA1_L14A1,L14DA1_L14A1_2,PZA. ESPAÑA,1,,Route_12
14,L14DA1_L14A1,L14DA1_L14A1_3,PGNO. S. CRIST,0,,Route_11
14,L14DA1_L14A1,L14DA1_L14A1_4,PZA. ESPAÑA,1,,Route_12
14,L14DA1_L14A1,L14DA1_L14A1_5,PGNO. S. CRIST,0,,Route_11
14,L14DA1_L14A1,L14DA1_L14A1_6,PZA. ESPAÑA,1,,Route_12
