service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L01_1,1,1,1,1,1,0,0,20240101,20241231
L01_4,1,1,1,1,1,0,0,20240101,20241231
L01_6,1,1,1,1,1,0,0,20240101,20241231
L01_7,1,1,1,1,1,0,0,20240101,20241231
L01_8,1,1,1,1,1,0,0,20240101,20241231
L01_9,1,1,1,1,1,1,0,20240101,20241231
L01_10,1,1,1,1,1,0,0,20240101,20241231
L01_11,1,1,1,1,1,1,0,20240101,20241231
L01_12,1,1,1,1,1,0,0,20240101,20241231
L01_13,1,1,1,1,1,1,0,20240101,20241231
L01_14,1,1,1,1,1,0,0,20240101,20241231
L01_15,1,1,1,1,1,1,0,20240101,20241231
L01_16,1,1,1,1,1,0,0,20240101,20241231
L01_17,1,1,1,1,1,1,0,20240101,20241231
L01_18,1,1,1,1,1,1,1,20240101,20241231
L01_19,1,1,1,1,1,1,0,20240101,20241231
L01_20,1,1,1,1,1,1,1,20240101,20241231
L01_21,1,1,1,1,1,1,0,20240101,20241231
L01_22,1,1,1,1,1,1,1,20240101,20241231
L01_23,1,1,1,1,1,1,0,20240101,20241231
L01_24,1,1,1,1,1,1,1,20240101,20241231
L01_25,1,1,1,1,1,0,0,20240101,20241231
L01_26,1,1,1,1,1,1,0,20240101,20241231
L01_27,1,1,1,1,1,1,1,20240101,20241231
L01_28,1,1,1,1,1,1,0,20240101,20241231
L01_30,1,1,1,1,1,1,1,20240101,20241231
L01_31,1,1,1,1,1,1,0,20240101,20241231
L01_32,1,1,1,1,1,1,1,20240101,20241231
L01_33,1,1,1,1,1,1,0,20240101,20241231
L01_34,1,1,1,1,1,1,1,20240101,20241231
L01_35,1,1,1,1,1,1,0,20240101,20241231
L01_36,1,1,1,1,1,1,1,20240101,20241231
L01_37,1,1,1,1,1,1,0,20240101,20241231
L01_38,0,0,0,0,1,1,1,20240101,20241231
L01_39,0,0,0,0,0,1,0,20240101,20241231
L01_40,1,1,1,1,1,1,1,20240101,20241231
L01_41,1,1,1,1,1,1,0,20240101,20241231
L01_42,1,1,1,1,1,1,1,20240101,20241231
L01_43,1,1,1,1,1,1,0,20240101,20241231
L01_44,0,0,0,0,1,1,1,20240101,20241231
L01_2,0,0,0,0,0,1,0,20240101,20241231
L01_3,1,1,1,1,1,0,0,20240101,20241231
L01_5,1,1,1,1,1,0,0,20240101,20241231
L01_29,1,1,1,1,1,1,0,20240101,20241231
L02_1,0,0,0,0,0,0,1,20240101,20241231
L02_2,0,0,0,0,0,0,1,20240101,20241231
L02_3,0,0,0,0,0,0,1,20240101,20241231
L02_4,0,0,0,0,0,0,1,20240101,20241231
