trip_id,arrival_time,departure_time,pickup_type,drop_off_type,stop_id,stop_sequence
L01_1_0,06:30:00,06:30:00,,,ECSA:1,1
L01_1_0,06:31:00,06:31:00,,,ECSA:2,2
L01_1_0,06:34:00,06:34:00,,,ECSA:3,3
L01_1_0,06:35:00,06:35:00,,,ECSA:4,4
L01_1_0,06:40:00,06:40:00,,,ECSA:5,5
L01_1_0,06:41:00,06:41:00,,,ECSA:6,6
L01_1_0,06:43:00,06:43:00,,,ECSA:7,7
L01_1_0,06:44:00,06:44:00,1,,ECSA:8,8
L01_1_0,06:45:00,06:45:00,1,,ECSA:9,9
L01_1_0,06:46:00,06:46:00,1,,118,10
L01_1_0,06:47:00,06:47:00,,,ECSA:11,11
L01_1_0,06:48:00,06:48:00,,,VA:1,12
L01_4_0,07:00:00,07:00:00,,,ECSA:1,1
L01_4_0,07:01:00,07:01:00,,,ECSA:2,2
L01_4_0,07:04:00,07:04:00,,,ECSA:3,3
L01_4_0,07:05:00,07:05:00,,,ECSA:4,4
L01_4_0,07:10:00,07:10:00,,,ECSA:5,5
L01_4_0,07:11:00,07:11:00,,,ECSA:6,6
L01_4_0,07:13:00,07:13:00,,,ECSA:7,7
L01_4_0,07:14:00,07:14:00,1,,ECSA:8,8
L01_4_0,07:15:00,07:15:00,1,,ECSA:9,9
L01_4_0,07:16:00,07:16:00,1,,118,10
L01_4_0,07:17:00,07:17:00,,,ECSA:11,11
L01_4_0,07:19:00,07:19:00,,,ECSA:13,12
L01_4_0,07:21:00,07:21:00,,,ECSA:14,13
L01_4_0,07:22:00,07:22:00,,,ECSA:15,14
L01_4_0,07:24:00,07:24:00,,,ECSA:16,15
L01_4_0,07:26:00,07:26:00,,,ECSA:19,18
L01_6_0,07:15:00,07:15:00,,,ECSA:1,1
L01_6_0,07:16:00,07:16:00,,,ECSA:2,2
L01_6_0,07:19:00,07:19:00,,,ECSA:3,3
L01_6_0,07:20:00,07:20:00,,,ECSA:4,4
L01_6_0,07:25:00,07:25:00,,,ECSA:5,5
L01_6_0,07:26:00,07:26:00,,,ECSA:6,6
L01_6_0,07:28:00,07:28:00,,,ECSA:7,7
L01_6_0,07:29:00,07:29:00,1,,ECSA:8,8
L01_6_0,07:30:00,07:30:00,1,,ECSA:9,9
L01_6_0,07:31:00,07:31:00,1,,118,10
L01_6_0,07:32:00,07:32:00,,,ECSA:11,11
L01_6_0,07:34:00,07:34:00,,,ECSA:13,12
L01_6_0,07:36:00,07:36:00,,,ECSA:14,13
L01_6_0,07:37:00,07:37:00,,,ECSA:15,14
L01_6_0,07:39:00,07:39:00,,,ECSA:16,15
L01_6_0,07:41:00,07:41:00,,,ECSA:19,18
L01_7_0,07:30:00,07:30:00,,,ECSA:1,1
L01_7_0,07:31:00,07:31:00,,,ECSA:2,2
L01_7_0,07:34:00,07:34:00,,,ECSA:3,3
L01_7_0,07:35:00,07:35:00,,,ECSA:4,4
L01_7_0,07:40:00,07:40:00,,,ECSA:5,5
L01_7_0,07:41:00,07:41:00,,,ECSA:6,6
L01_7_0,07:43:00,07:43:00,,,ECSA:7,7
L01_7_0,07:44:00,07:44:00,1,,ECSA:8,8
L01_7_0,07:45:00,07:45:00,1,,ECSA:9,9
